04 July 2007 10:50:54 AM

NINT_EXACTNESS_TRI
  C++ version

  Investigate the polynomial exactness of a quadrature
  rule for the triangle by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit triangle.

NINT_EXACTNESS_TRI: User input:
  Quadrature rule X file = "toms706_37_x.txt".
  Quadrature rule W file = "toms706_37_w.txt".
  Quadrature rule R file = "toms706_37_r.txt".
  Maximum total degree to check = 14

  Spatial dimension = 2
  Number of points  = 37

      Error    Degree  Exponents

   2.22045e-16      0   0 0

   4.44089e-16      1   1 0
   4.44089e-16      1   0 1

   2.22045e-16      2   2 0
   2.22045e-16      2   1 1
   4.44089e-16      2   0 2

             0      3   3 0
   6.66134e-16      3   2 1
   6.66134e-16      3   1 2
             0      3   0 3

   2.22045e-16      4   4 0
   2.22045e-16      4   3 1
   8.88178e-16      4   2 2
   4.44089e-16      4   1 3
             0      4   0 4

   2.22045e-16      5   5 0
   6.66134e-16      5   4 1
   8.88178e-16      5   3 2
   6.66134e-16      5   2 3
   4.44089e-16      5   1 4
   2.22045e-16      5   0 5

   2.22045e-16      6   6 0
   2.22045e-16      6   5 1
   8.88178e-16      6   4 2
   6.66134e-16      6   3 3
   1.11022e-15      6   2 4
             0      6   1 5
             0      6   0 6

   4.44089e-16      7   7 0
   2.22045e-16      7   6 1
   8.88178e-16      7   5 2
   8.88178e-16      7   4 3
   8.88178e-16      7   3 4
   8.88178e-16      7   2 5
   2.22045e-16      7   1 6
   4.44089e-16      7   0 7

   2.22045e-16      8   8 0
   2.22045e-16      8   7 1
   8.88178e-16      8   6 2
   1.33227e-15      8   5 3
   1.11022e-15      8   4 4
   8.88178e-16      8   3 5
   8.88178e-16      8   2 6
   2.22045e-16      8   1 7
   2.22045e-16      8   0 8

   6.66134e-16      9   9 0
   6.66134e-16      9   8 1
   1.11022e-15      9   7 2
   1.11022e-15      9   6 3
   1.55431e-15      9   5 4
   1.55431e-15      9   4 5
   8.88178e-16      9   3 6
   8.88178e-16      9   2 7
   4.44089e-16      9   1 8
   4.44089e-16      9   0 9

   8.88178e-16     10  10 0
   2.22045e-16     10   9 1
   1.11022e-15     10   8 2
   1.11022e-15     10   7 3
   2.22045e-15     10   6 4
   1.55431e-15     10   5 5
   1.77636e-15     10   4 6
   6.66134e-16     10   3 7
   8.88178e-16     10   2 8
   4.44089e-16     10   1 9
   8.88178e-16     10   010

   1.55431e-15     11  11 0
   6.66134e-16     11  10 1
   4.44089e-16     11   9 2
   1.11022e-15     11   8 3
   1.55431e-15     11   7 4
   1.77636e-15     11   6 5
   1.77636e-15     11   5 6
   1.11022e-15     11   4 7
   8.88178e-16     11   3 8
   6.66134e-16     11   2 9
   4.44089e-16     11   110
   1.55431e-15     11   011

   1.33227e-15     12  12 0
   6.66134e-16     12  11 1
   8.88178e-16     12  10 2
   4.44089e-16     12   9 3
   1.55431e-15     12   8 4
   1.77636e-15     12   7 5
   2.22045e-15     12   6 6
   1.77636e-15     12   5 7
   1.11022e-15     12   4 8
   6.66134e-16     12   3 9
   8.88178e-16     12   210
   6.66134e-16     12   111
   1.33227e-15     12   012

   1.77636e-15     13  13 0
   6.66134e-16     13  12 1
   8.88178e-16     13  11 2
   6.66134e-16     13  10 3
   8.88178e-16     13   9 4
   2.22045e-15     13   8 5
   2.44249e-15     13   7 6
   2.44249e-15     13   6 7
    1.9984e-15     13   5 8
   8.88178e-16     13   4 9
   6.66134e-16     13   310
   4.44089e-16     13   211
   6.66134e-16     13   112
   1.77636e-15     13   013

   1.70589e-07     14  14 0
   1.19412e-06     14  13 1
   7.76363e-06     14  12 2
   3.10581e-05     14  11 3
   8.52806e-05     14  10 4
   0.000170163     14   9 5
   0.000254779     14   8 6
   0.000290985     14   7 7
   0.000254779     14   6 8
   0.000170163     14   5 9
   8.52806e-05     14   410
   3.10581e-05     14   311
   7.76363e-06     14   212
   1.19412e-06     14   113
   1.70589e-07     14   014


'NINT_EXACTNESS_TRI:
  Normal end of execution.

04 July 2007 10:50:54 AM
