05 July 2007 05:07:27 AM

NINT_EXACTNESS_TET
  C++ version

  Investigate the polynomial exactness of a quadrature
  rule for the tetrahedron by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit tetrahedron.

NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "keast8_x.txt".
  Quadrature rule W file = "keast8_w.txt".
  Quadrature rule R file = "keast8_r.txt".
  Maximum total degree to check = 8

  Spatial dimension = 3
  Number of points  = 31

      Error    Degree  Exponents

   5.55112e-16      0   0 0 0

   6.66134e-16      1   1 0 0
   6.66134e-16      1   0 1 0
   8.88178e-16      1   0 0 1

   2.66454e-15      2   2 0 0
   1.11022e-15      2   1 1 0
   2.66454e-15      2   0 2 0
   1.11022e-15      2   1 0 1
   1.33227e-15      2   0 1 1
   3.10862e-15      2   0 0 2

    3.9968e-15      3   3 0 0
   1.11022e-15      3   2 1 0
   1.11022e-15      3   1 2 0
   4.21885e-15      3   0 3 0
   1.11022e-15      3   2 0 1
    5.9952e-15      3   1 1 1
   1.11022e-15      3   0 2 1
   1.11022e-15      3   1 0 2
   1.11022e-15      3   0 1 2
    3.9968e-15      3   0 0 3

   4.21885e-15      4   4 0 0
   2.55351e-15      4   3 1 0
   3.55271e-15      4   2 2 0
   2.55351e-15      4   1 3 0
   4.21885e-15      4   0 4 0
   2.55351e-15      4   3 0 1
   4.88498e-15      4   2 1 1
   4.66294e-15      4   1 2 1
   2.88658e-15      4   0 3 1
   3.55271e-15      4   2 0 2
   4.88498e-15      4   1 1 2
   3.44169e-15      4   0 2 2
   2.77556e-15      4   1 0 3
   2.77556e-15      4   0 1 3
   4.21885e-15      4   0 0 4

     4.996e-15      5   5 0 0
   3.77476e-15      5   4 1 0
    5.9952e-15      5   3 2 0
    5.9952e-15      5   2 3 0
    3.9968e-15      5   1 4 0
     4.996e-15      5   0 5 0
   3.77476e-15      5   4 0 1
   3.55271e-15      5   3 1 1
   3.77476e-15      5   2 2 1
   3.55271e-15      5   1 3 1
   3.77476e-15      5   0 4 1
    5.9952e-15      5   3 0 2
   3.77476e-15      5   2 1 2
   3.77476e-15      5   1 2 2
   6.21725e-15      5   0 3 2
    5.9952e-15      5   2 0 3
   3.55271e-15      5   1 1 3
    5.9952e-15      5   0 2 3
   3.77476e-15      5   1 0 4
   3.77476e-15      5   0 1 4
     4.996e-15      5   0 0 5

   4.77396e-15      6   6 0 0
   4.88498e-15      6   5 1 0
   7.32747e-15      6   4 2 0
   9.65894e-15      6   3 3 0
   7.54952e-15      6   2 4 0
   4.44089e-15      6   1 5 0
   4.77396e-15      6   0 6 0
   4.88498e-15      6   5 0 1
    3.9968e-15      6   4 1 1
   1.77636e-15      6   3 2 1
   1.77636e-15      6   2 3 1
    3.9968e-15      6   1 4 1
   4.55191e-15      6   0 5 1
   7.32747e-15      6   4 0 2
    1.9984e-15      6   3 1 2
   5.55112e-15      6   2 2 2
   1.77636e-15      6   1 3 2
   7.32747e-15      6   0 4 2
   9.65894e-15      6   3 0 3
    1.9984e-15      6   2 1 3
   1.77636e-15      6   1 2 3
   9.65894e-15      6   0 3 3
   7.32747e-15      6   2 0 4
    3.9968e-15      6   1 1 4
   7.54952e-15      6   0 2 4
   4.55191e-15      6   1 0 5
   4.55191e-15      6   0 1 5
   4.77396e-15      6   0 0 6

   4.32987e-15      7   7 0 0
    5.9952e-15      7   6 1 0
   8.77076e-15      7   5 2 0
   1.11022e-14      7   4 3 0
   1.13243e-14      7   3 4 0
   8.99281e-15      7   2 5 0
   5.55112e-15      7   1 6 0
   4.55191e-15      7   0 7 0
    5.9952e-15      7   6 0 1
   3.10862e-15      7   5 1 1
   1.11022e-15      7   4 2 1
   2.77556e-15      7   3 3 1
   8.88178e-16      7   2 4 1
   2.88658e-15      7   1 5 1
   5.55112e-15      7   0 6 1
   8.99281e-15      7   5 0 2
   1.11022e-15      7   4 1 2
   4.88498e-15      7   3 2 2
   4.88498e-15      7   2 3 2
   6.66134e-16      7   1 4 2
   8.99281e-15      7   0 5 2
   1.11022e-14      7   4 0 3
   2.44249e-15      7   3 1 3
   5.10703e-15      7   2 2 3
   2.55351e-15      7   1 3 3
   1.13243e-14      7   0 4 3
   1.13243e-14      7   3 0 4
   8.88178e-16      7   2 1 4
   1.11022e-15      7   1 2 4
   1.13243e-14      7   0 3 4
   8.99281e-15      7   2 0 5
   3.33067e-15      7   1 1 5
   8.99281e-15      7   0 2 5
   5.55112e-15      7   1 0 6
   5.21805e-15      7   0 1 6
   4.32987e-15      7   0 0 7

    0.00112551      8   8 0 0
    0.00300137      8   7 1 0
    0.00849797      8   6 2 0
     0.0139841      8   5 3 0
     0.0154854      8   4 4 0
     0.0139841      8   3 5 0
    0.00849797      8   2 6 0
    0.00300137      8   1 7 0
    0.00112551      8   0 8 0
    0.00300137      8   7 0 1
    0.00200683      8   6 1 1
    0.00451773      8   5 2 1
    0.00398956      8   4 3 1
    0.00398956      8   3 4 1
    0.00451773      8   2 5 1
    0.00200683      8   1 6 1
    0.00300137      8   0 7 1
    0.00849797      8   6 0 2
    0.00451773      8   5 1 2
    0.00782246      8   4 2 2
    0.00803362      8   3 3 2
    0.00782246      8   2 4 2
    0.00451773      8   1 5 2
    0.00849797      8   0 6 2
     0.0139841      8   5 0 3
    0.00398956      8   4 1 3
    0.00803362      8   3 2 3
    0.00803362      8   2 3 3
    0.00398956      8   1 4 3
     0.0139841      8   0 5 3
     0.0154854      8   4 0 4
    0.00398956      8   3 1 4
    0.00782246      8   2 2 4
    0.00398956      8   1 3 4
     0.0154854      8   0 4 4
     0.0139841      8   3 0 5
    0.00451773      8   2 1 5
    0.00451773      8   1 2 5
     0.0139841      8   0 3 5
    0.00849797      8   2 0 6
    0.00200683      8   1 1 6
    0.00849797      8   0 2 6
    0.00300137      8   1 0 7
    0.00300137      8   0 1 7
    0.00112551      8   0 0 8


'NINT_EXACTNESS_TET:
  Normal end of execution.

05 July 2007 05:07:27 AM
