05 July 2007 05:07:25 AM

NINT_EXACTNESS_TET
  C++ version

  Investigate the polynomial exactness of a quadrature
  rule for the tetrahedron by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit tetrahedron.

NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "keast7_x.txt".
  Quadrature rule W file = "keast7_w.txt".
  Quadrature rule R file = "keast7_r.txt".
  Maximum total degree to check = 8

  Spatial dimension = 3
  Number of points  = 24

      Error    Degree  Exponents
    0.00437632      7   4 0 3
     0.0175053      7   3 1 3
   0.000574939      7   2 2 3
     0.0175053      7   1 3 3
    0.00437632      7   0 4 3
    0.00437632      7   3 0 4
     0.0119791      7   2 1 4
     0.0119791      7   1 2 4
    0.00437632      7   0 3 4
    0.00741743      7   2 0 5
    0.00854838      7   1 1 5
    0.00741743      7   0 2 5
    0.00532194      7   1 0 6
    0.00532194      7   0 1 6
    0.00228083      7   0 0 7

    0.00993956      8   8 0 0
     0.0181425      8   7 1 0
     0.0139434      8   6 2 0
    0.00913583      8   5 3 0
     0.0311216      8   4 4 0
    0.00913583      8   3 5 0
     0.0139434      8   2 6 0
     0.0181425      8   1 7 0
    0.00993956      8   0 8 0
     0.0181425      8   7 0 1
     0.0202845      8   6 1 1
     0.0147382      8   5 2 1
      0.015334      8   4 3 1
      0.015334      8   3 4 1
     0.0147382      8   2 5 1
     0.0202845      8   1 6 1
     0.0181425      8   0 7 1
     0.0139434      8   6 0 2
     0.0147382      8   5 1 2
     0.0437511      8   4 2 2
     0.0285338      8   3 3 2
     0.0437511      8   2 4 2
     0.0147382      8   1 5 2
     0.0139434      8   0 6 2
    0.00913583      8   5 0 3
      0.015334      8   4 1 3
     0.0285338      8   3 2 3
     0.0285338      8   2 3 3
      0.015334      8   1 4 3
    0.00913583      8   0 5 3
     0.0311216      8   4 0 4
      0.015334      8   3 1 4
     0.0437511      8   2 2 4
      0.015334      8   1 3 4
     0.0311216      8   0 4 4
    0.00913583      8   3 0 5
     0.0147382      8   2 1 5
     0.0147382      8   1 2 5
    0.00913583      8   0 3 5
     0.0139434      8   2 0 6
     0.0202845      8   1 1 6
     0.0139434      8   0 2 6
     0.0181425      8   1 0 7
     0.0181425      8   0 1 7
    0.00993956      8   0 0 8


'NINT_EXACTNESS_TET:
  Normal end of execution.

05 July 2007 05:07:25 AM
