05 July 2007 05:07:25 AM

NINT_EXACTNESS_TET
  C++ version

  Investigate the polynomial exactness of a quadrature
  rule for the tetrahedron by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit tetrahedron.

NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "keast7_x.txt".
  Quadrature rule W file = "keast7_w.txt".
  Quadrature rule R file = "keast7_r.txt".
  Maximum total degree to check = 8

  Spatial dimension = 3
  Number of points  = 24

      Error    Degree  Exponents

   2.22045e-16      0   0 0 0

   4.44089e-16      1   1 0 0
   4.44089e-16      1   0 1 0
   4.44089e-16      1   0 0 1

   6.66134e-16      2   2 0 0
   2.22045e-16      2   1 1 0
   6.66134e-16      2   0 2 0
   2.22045e-16      2   1 0 1
   2.22045e-16      2   0 1 1
   6.66134e-16      2   0 0 2

   8.88178e-16      3   3 0 0
   2.22045e-16      3   2 1 0
   2.22045e-16      3   1 2 0
   8.88178e-16      3   0 3 0
   2.22045e-16      3   2 0 1
   2.22045e-16      3   1 1 1
   2.22045e-16      3   0 2 1
   2.22045e-16      3   1 0 2
   2.22045e-16      3   0 1 2
   6.66134e-16      3   0 0 3

   8.88178e-16      4   4 0 0
   4.44089e-16      4   3 1 0
   2.22045e-16      4   2 2 0
   4.44089e-16      4   1 3 0
   8.88178e-16      4   0 4 0
   4.44089e-16      4   3 0 1
   4.44089e-16      4   2 1 1
   4.44089e-16      4   1 2 1
   2.22045e-16      4   0 3 1
   4.44089e-16      4   2 0 2
   4.44089e-16      4   1 1 2
   4.44089e-16      4   0 2 2
   4.44089e-16      4   1 0 3
   4.44089e-16      4   0 1 3
   1.11022e-15      4   0 0 4

   1.77636e-15      5   5 0 0
   4.44089e-16      5   4 1 0
   4.44089e-16      5   3 2 0
   4.44089e-16      5   2 3 0
   4.44089e-16      5   1 4 0
   1.55431e-15      5   0 5 0
   4.44089e-16      5   4 0 1
   2.22045e-16      5   3 1 1
   2.22045e-16      5   2 2 1
   4.44089e-16      5   1 3 1
   2.22045e-16      5   0 4 1
   4.44089e-16      5   3 0 2
   2.22045e-16      5   2 1 2
   2.22045e-16      5   1 2 2
   4.44089e-16      5   0 3 2
   4.44089e-16      5   2 0 3
   4.44089e-16      5   1 1 3
   4.44089e-16      5   0 2 3
   4.44089e-16      5   1 0 4
   2.22045e-16      5   0 1 4
   1.55431e-15      5   0 0 5

    1.9984e-15      6   6 0 0
   2.22045e-16      6   5 1 0
   4.44089e-16      6   4 2 0
   2.22045e-16      6   3 3 0
   4.44089e-16      6   2 4 0
   2.22045e-16      6   1 5 0
    1.9984e-15      6   0 6 0
   2.22045e-16      6   5 0 1
   4.44089e-16      6   4 1 1
   4.44089e-16      6   3 2 1
   6.66134e-16      6   2 3 1
   4.44089e-16      6   1 4 1
   2.22045e-16      6   0 5 1
   4.44089e-16      6   4 0 2
   4.44089e-16      6   3 1 2
   6.66134e-16      6   2 2 2
   6.66134e-16      6   1 3 2
   6.66134e-16      6   0 4 2
   2.22045e-16      6   3 0 3
   6.66134e-16      6   2 1 3
   6.66134e-16      6   1 2 3
   2.22045e-16      6   0 3 3
   4.44089e-16      6   2 0 4
   4.44089e-16      6   1 1 4
   6.66134e-16      6   0 2 4
   2.22045e-16      6   1 0 5
   2.22045e-16      6   0 1 5
    1.9984e-15      6   0 0 6

    0.00228083      7   7 0 0
    0.00532194      7   6 1 0
    0.00741743      7   5 2 0
    0.00437632      7   4 3 0
    0.00437632      7   3 4 0
    0.00741743      7   2 5 0
    0.00532194      7   1 6 0
    0.00228083      7   0 7 0
    0.00532194      7   6 0 1
    0.00854838      7   5 1 1
     0.0119791      7   4 2 1
     0.0175053      7   3 3 1
     0.0119791      7   2 4 1
    0.00854838      7   1 5 1
    0.00532194      7   0 6 1
    0.00741743      7   5 0 2
     0.0119791      7   4 1 2
   0.000574939      7   3 2 2
   0.000574939      7   2 3 2
     0.0119791      7   1 4 2
    0.00741743      7   0 5 2
