23 January 2012 08:50:30 AM

CORDIC_PRB:
  C++ version,
  Test the CORDIC library.

TEST001:
  COSSIN_CORDIC computes the cosine and sine
  using the CORDIC algorithm.

          A        N      Cos(A)           Cos(A)           Difference
                          Tabulated        CORDIC


       1.571    15                   1                 1      8.35e-11
       1.571    20                   1                 1     9.204e-14
       1.571    25                   1                 1     4.441e-16

           2     0          0.90929743                -0        0.9093
           2     5          0.90929743        0.92868117      -0.01938
           2    10          0.90929743          0.909477    -0.0001796
           2    15          0.90929743        0.90929928    -1.858e-06
           2    20          0.90929743         0.9092969     5.236e-07
           2    25          0.90929743        0.90929742     2.669e-09

           3     0          0.14112001                -0        0.1411
           3     5          0.14112001        0.13826371      0.002856
           3    10          0.14112001        0.14018919     0.0009308
           3    15          0.14112001        0.14109561     2.439e-05
           3    20          0.14112001        0.14112016    -1.544e-07
           3    25          0.14112001        0.14111999     2.265e-08

       3.142     0                   0                -0             0
       3.142     5                   0      -0.014835163       0.01484
       3.142    10                   0     -0.0011725901      0.001173
       3.142    15                   0    -1.2922696e-05     1.292e-05
       3.142    20                   0     4.2874447e-07    -4.287e-07
       3.142    25                   0     1.1511956e-08    -1.151e-08

           4     0          -0.7568025                -0       -0.7568
           4     5          -0.7568025       -0.72929659      -0.02751
           4    10          -0.7568025       -0.75673078    -7.172e-05
           4    15          -0.7568025       -0.75677068    -3.182e-05
           4    20          -0.7568025       -0.75680185      -6.5e-07
           4    25          -0.7568025       -0.75680251     1.229e-08

           5     0         -0.95892427                 0       -0.9589
           5     5         -0.95892427       -0.96547238      0.006548
           5    10         -0.95892427       -0.95855008    -0.0003742
           5    15         -0.95892427       -0.95891449    -9.785e-06
           5    20         -0.95892427       -0.95892477     4.958e-07
           5    25         -0.95892427       -0.95892428     5.487e-09

TEST003:
  ARCTAN_CORDIC computes the arctangent of Y/X
  using the CORDIC algorithm.

      X      Y    N       ArcTan(Y/X) ArcTan(Y/X)      Difference
                           Tabulated   CORDIC


      0.2184             0     0                   0                 0             0
      0.2184             0     5                   0      -0.014835707       0.01484
      0.2184             0    10                   0     -0.0011725903      0.001173
      0.2184             0    15                   0    -1.2922696e-05     1.292e-05
      0.2184             0    20                   0     4.2874447e-07    -4.287e-07
      0.2184             0    25                   0     1.1511956e-08    -1.151e-08

      0.8295        0.2074     0          0.24497866                 0         0.245
      0.8295        0.2074     5          0.24497866         0.2635457      -0.01857
      0.8295        0.2074    10          0.24497866         0.2459766    -0.0009979
      0.8295        0.2074    15          0.24497866        0.24493901     3.966e-05
      0.8295        0.2074    20          0.24497866        0.24497906    -3.965e-07
      0.8295        0.2074    25          0.24497866        0.24497864     2.076e-08

     -0.4153       -0.1384     0          0.32175055                 0        0.3218
     -0.4153       -0.1384     5          0.32175055         0.2635457        0.0582
     -0.4153       -0.1384    10          0.32175055        0.32017471      0.001576
     -0.4153       -0.1384    15          0.32175055        0.32170059     4.997e-05
     -0.4153       -0.1384    20          0.32175055        0.32175208    -1.529e-06
     -0.4153       -0.1384    25          0.32175055        0.32175059    -3.899e-08

     -0.2576       -0.1288     0          0.46364761                 0        0.4636
     -0.2576       -0.1288     5          0.46364761        0.50479303      -0.04115
     -0.2576       -0.1288    10          0.46364761         0.4637887    -0.0001411
     -0.2576       -0.1288    15          0.46364761         0.4636056     4.201e-05
     -0.2576       -0.1288    20          0.46364761        0.46364947    -1.859e-06
     -0.2576       -0.1288    25          0.46364761        0.46364762    -1.144e-08

     0.04383       0.04383     0          0.78539816                 0        0.7854
     0.04383       0.04383     5          0.78539816        0.75350302        0.0319
     0.04383       0.04383    10          0.78539816        0.78669489     -0.001297
     0.04383       0.04383    15          0.78539816        0.78541315    -1.499e-05
     0.04383       0.04383    20          0.78539816         0.7853998    -1.638e-06
     0.04383       0.04383    25          0.78539816        0.78539819    -2.831e-08

    -0.06173       -0.1235     0           1.1071487                 0         1.107
    -0.06173       -0.1235     5           1.1071487         1.0660033       0.04115
    -0.06173       -0.1235    10           1.1071487         1.1070076     0.0001411
    -0.06173       -0.1235    15           1.1071487         1.1071907    -4.201e-05
    -0.06173       -0.1235    20           1.1071487         1.1071469     1.859e-06
    -0.06173       -0.1235    25           1.1071487         1.1071487     1.144e-08

      0.4013         1.204     0           1.2490458                 0         1.249
      0.4013         1.204     5           1.2490458         1.1908409        0.0582
      0.4013         1.204    10           1.2490458         1.2474699      0.001576
      0.4013         1.204    15           1.2490458         1.2489958     4.997e-05
      0.4013         1.204    20           1.2490458         1.2490473    -1.529e-06
      0.4013         1.204    25           1.2490458         1.2490458    -3.899e-08

     -0.7973        -3.189     0           1.3258177                 0         1.326
     -0.7973        -3.189     5           1.3258177         1.3072506       0.01857
     -0.7973        -3.189    10           1.3258177         1.3248197     0.0009979
     -0.7973        -3.189    15           1.3258177         1.3258573    -3.966e-05
     -0.7973        -3.189    20           1.3258177         1.3258173     3.965e-07
     -0.7973        -3.189    25           1.3258177         1.3258177    -2.076e-08

     -0.8975        -4.488     0           1.3734008                 0         1.373
     -0.8975        -4.488     5           1.3734008         1.4320883      -0.05869
     -0.8975        -4.488    10           1.3734008          1.371553      0.001848
     -0.8975        -4.488    15           1.3734008         1.3734451    -4.432e-05
     -0.8975        -4.488    20           1.3734008         1.3734012    -4.487e-07
     -0.8975        -4.488    25           1.3734008         1.3734008    -3.151e-08

    -0.09454       -0.9454     0           1.4711277                 0         1.471
    -0.09454       -0.9454     5           1.4711277         1.4320883       0.03904
    -0.09454       -0.9454    10           1.4711277         1.4691864      0.001941
    -0.09454       -0.9454    15           1.4711277         1.4710785     4.922e-05
    -0.09454       -0.9454    20           1.4711277         1.4711261     1.537e-06
    -0.09454       -0.9454    25           1.4711277         1.4711276     4.663e-08

      0.8591         17.18     0           1.5208379                 0         1.521
      0.8591         17.18     5           1.5208379         1.5559606      -0.03512
      0.8591         17.18    10           1.5208379         1.5227688     -0.001931
      0.8591         17.18    15           1.5208379         1.5208767    -3.873e-05
      0.8591         17.18    20           1.5208379         1.5208366     1.323e-06
      0.8591         17.18    25           1.5208379          1.520838    -4.776e-08

TEST004:
  ARCCOS_CORDIC computes the arccosine of T
  using the CORDIC algorithm.

      T    N        ArcCos(T)  ArcCos(T)      Difference
                   Tabulated   CORDIC


        -0.1     0           1.6709637                 0         1.671
        -0.1     5           1.6709637         1.6345866       0.03638
        -0.1    10           1.6709637         1.6697248      0.001239
        -0.1    15           1.6709637         1.6710676    -0.0001038
        -0.1    20           1.6709637         1.6709646     -8.24e-07
        -0.1    25           1.6709637         1.6709637     1.046e-08

           0     0           1.5707963                 0         1.571
           0     5           1.5707963         1.6345866      -0.06379
           0    10           1.5707963         1.5682029      0.002593
           0    15           1.5707963         1.5707663     2.998e-05
           0    20           1.5707963         1.5707931     3.275e-06
           0    25           1.5707963         1.5707963     5.662e-08

         0.1     0           1.4706289                 0         1.471
         0.1     5           1.4706289          1.507006      -0.03638
