01 June 2012 07:36:12 AM

FEYNMAN-KAC_3D:
  C++ version.

  Program parameters:

  The calculation takes place inside a 3D ellipsoid.
  A rectangular grid of points will be defined.
  The solution will be estimated for those grid points
  that lie inside the ellipsoid.

  Each solution will be estimated by computing 10000 trajectories
  from the point to the boundary.

    (X/A)^2 + (Y/B)^2 + (Z/C)^2 = 1

  The ellipsoid parameters A, B, C are set to:

    A = 3
    B = 2
    C = 1
  Stepsize H = 0.001

  X coordinate marked by 31 points
  Y coordinate marked by 21 points
  Z coordinate marked by 11 points

     X           Y           Z          W approx    W exact     Error   Ave Steps
        -2.8          -1         0.2           1           1           0         0
        -2.8          -1         0.4           1           1           0         0
        -2.8          -1         0.6           1           1           0         0
        -2.8          -1         0.8           1           1           0         0
        -2.8          -1           1           1           1           0         0
        -2.8        -0.8          -1           1           1           0         0
        -2.8        -0.8        -0.8           1           1           0         0
        -2.8        -0.8        -0.6           1           1           0         0
        -2.8        -0.8        -0.4           1           1           0         0
        -2.8        -0.8        -0.2           1           1           0         0
        -2.8        -0.8           0           1           1           0         0
        -2.8        -0.8         0.2           1           1           0         0
        -2.8        -0.8         0.4           1           1           0         0
        -2.8        -0.8         0.6           1           1           0         0
        -2.8        -0.8         0.8           1           1           0         0
        -2.8        -0.8           1           1           1           0         0
        -2.8        -0.6          -1           1           1           0         0
        -2.8        -0.6        -0.8           1           1           0         0
        -2.8        -0.6        -0.6           1           1           0         0
        -2.8        -0.6        -0.4           1           1           0         0
        -2.8        -0.6        -0.2           1           1           0         0
        -2.8        -0.6           0    0.945441    0.961858   0.0164167        41
        -2.8        -0.6         0.2           1           1           0         0
        -2.8        -0.6         0.4           1           1           0         0
        -2.8        -0.6         0.6           1           1           0         0
        -2.8        -0.6         0.8           1           1           0         0
        -2.8        -0.6           1           1           1           0         0
        -2.8        -0.4          -1           1           1           0         0
        -2.8        -0.4        -0.8           1           1           0         0
        -2.8        -0.4        -0.6           1           1           0         0
        -2.8        -0.4        -0.4           1           1           0         0
        -2.8        -0.4        -0.2     0.93571    0.952287   0.0165768        49
        -2.8        -0.4           0    0.899517    0.914947   0.0154301        77
        -2.8        -0.4         0.2    0.937054    0.952287   0.0152327        48
        -2.8        -0.4         0.4           1           1           0         0
        -2.8        -0.4         0.6           1           1           0         0
        -2.8        -0.4         0.8           1           1           0         0
        -2.8        -0.4           1           1           1           0         0
        -2.8        -0.2          -1           1           1           0         0
        -2.8        -0.2        -0.8           1           1           0         0
        -2.8        -0.2        -0.6           1           1           0         0
        -2.8        -0.2        -0.4           1           1           0         0
        -2.8        -0.2        -0.2    0.911165    0.924143   0.0129775        67
        -2.8        -0.2           0     0.87169    0.887906   0.0162161       100
        -2.8        -0.2         0.2    0.907491    0.924143   0.0166515        72
        -2.8        -0.2         0.4           1           1           0         0
        -2.8        -0.2         0.6           1           1           0         0
        -2.8        -0.2         0.8           1           1           0         0
        -2.8        -0.2           1           1           1           0         0
        -2.8           0          -1           1           1           0         0
        -2.8           0        -0.8           1           1           0         0
        -2.8           0        -0.6           1           1           0         0
        -2.8           0        -0.4           1           1           0         0
        -2.8           0        -0.2       0.898    0.914947   0.0169472        79
        -2.8           0           0    0.864011    0.879072   0.0150611       106
        -2.8           0         0.2    0.899812    0.914947   0.0151356        78
        -2.8           0         0.4           1           1           0         0
        -2.8           0         0.6           1           1           0         0
        -2.8           0         0.8           1           1           0         0
        -2.8           0           1           1           1           0         0
        -2.8         0.2          -1           1           1           0         0
        -2.8         0.2        -0.8           1           1           0         0
        -2.8         0.2        -0.6           1           1           0         0
        -2.8         0.2        -0.4           1           1           0         0
        -2.8         0.2        -0.2    0.907909    0.924143   0.0162334        71
        -2.8         0.2           0    0.870076    0.887906   0.0178308       103
        -2.8         0.2         0.2    0.908355    0.924143   0.0157874        70
        -2.8         0.2         0.4           1           1           0         0
        -2.8         0.2         0.6           1           1           0         0
        -2.8         0.2         0.8           1           1           0         0
        -2.8         0.2           1           1           1           0         0
        -2.8         0.4          -1           1           1           0         0
        -2.8         0.4        -0.8           1           1           0         0
        -2.8         0.4        -0.6           1           1           0         0
        -2.8         0.4        -0.4           1           1           0         0
        -2.8         0.4        -0.2    0.936758    0.952287    0.015529        48
        -2.8         0.4           0    0.900152    0.914947   0.0147949        77
        -2.8         0.4         0.2    0.937575    0.952287    0.014712        47
        -2.8         0.4         0.4           1           1           0         0
        -2.8         0.4         0.6           1           1           0         0
        -2.8         0.4         0.8           1           1           0         0
        -2.8         0.4           1           1           1           0         0
        -2.8         0.6          -1           1           1           0         0
        -2.8         0.6        -0.8           1           1           0         0
        -2.8         0.6        -0.6           1           1           0         0
        -2.8         0.6        -0.4           1           1           0         0
        -2.8         0.6        -0.2           1           1           0         0
        -2.8         0.6           0    0.945978    0.961858     0.01588        40
        -2.8         0.6         0.2           1           1           0         0
        -2.8         0.6         0.4           1           1           0         0
        -2.8         0.6         0.6           1           1           0         0
        -2.8         0.6         0.8           1           1           0         0
        -2.8         0.6           1           1           1           0         0
        -2.8         0.8          -1           1           1           0         0
        -2.8         0.8        -0.8           1           1           0         0
        -2.8         0.8        -0.6           1           1           0         0
        -2.8         0.8        -0.4           1           1           0         0
        -2.8         0.8        -0.2           1           1           0         0
        -2.8         0.8           0           1           1           0         0
        -2.8         0.8         0.2           1           1           0         0
        -2.8         0.8         0.4           1           1           0         0
        -2.8         0.8         0.6           1           1           0         0
        -2.8         0.8         0.8           1           1           0         0
        -2.8         0.8           1           1           1           0         0
        -2.8           1          -1           1           1           0         0
        -2.8           1        -0.8           1           1           0         0
        -2.8           1        -0.6           1           1           0         0
        -2.8           1        -0.4           1           1           0         0
        -2.8           1        -0.2           1           1           0         0
        -2.8           1           0           1           1           0         0
        -2.8           1         0.2           1           1           0         0
        -2.8           1         0.4           1           1           0         0
        -2.8           1         0.6           1           1           0         0
        -2.8           1         0.8           1           1           0         0
        -2.8           1           1           1           1           0         0
        -2.8         1.2          -1           1           1           0         0
        -2.8         1.2        -0.8           1           1           0         0
        -2.8         1.2        -0.6           1           1           0         0
        -2.8         1.2        -0.4           1           1           0         0
        -2.8         1.2        -0.2           1           1           0         0
        -2.8         1.2           0           1           1           0         0
        -2.8         1.2         0.2           1           1           0         0
        -2.8         1.2         0.4           1           1           0         0
        -2.8         1.2         0.6           1           1           0         0
        -2.8         1.2         0.8           1           1           0         0
        -2.8         1.2           1           1           1           0         0
        -2.8         1.4          -1           1           1           0         0
        -2.8         1.4        -0.8           1           1           0         0
        -2.8         1.4        -0.6           1           1           0         0
        -2.8         1.4        -0.4           1           1           0         0
        -2.8         1.4        -0.2           1           1           0         0
        -2.8         1.4           0           1           1           0         0
        -2.8         1.4         0.2           1           1           0         0
        -2.8         1.4         0.4           1           1           0         0
        -2.8         1.4         0.6           1           1           0         0
        -2.8         1.4         0.8           1           1           0         0
        -2.8         1.4           1           1           1           0         0
        -2.8         1.6          -1           1           1           0         0
        -2.8         1.6        -0.8           1           1           0         0
        -2.8         1.6        -0.6           1           1           0         0
        -2.8         1.6        -0.4           1           1           0         0
        -2.8         1.6        -0.2           1           1           0         0
        -2.8         1.6           0           1           1           0         0
        -2.8         1.6         0.2           1           1           0         0
        -2.8         1.6         0.4           1           1           0         0
        -2.8         1.6         0.6           1           1           0         0
        -2.8         1.6         0.8           1           1           0         0
        -2.8         1.6           1           1           1           0         0
        -2.8         1.8          -1           1           1           0         0
        -2.8         1.8        -0.8           1           1           0         0
        -2.8         1.8        -0.6           1           1           0         0
        -2.8         1.8        -0.4           1           1           0         0
        -2.8         1.8        -0.2           1           1           0         0
        -2.8         1.8           0           1           1           0         0
        -2.8         1.8         0.2           1           1           0         0
        -2.8         1.8         0.4           1           1           0         0
        -2.8         1.8         0.6           1           1           0         0
        -2.8         1.8         0.8           1           1           0         0
        -2.8         1.8           1           1           1           0         0
        -2.8           2          -1           1           1           0         0
        -2.8           2        -0.8           1           1           0         0
        -2.8           2        -0.6           1           1           0         0
        -2.8           2        -0.4           1           1           0         0
        -2.8           2        -0.2           1           1           0         0
        -2.8           2           0           1           1           0         0
        -2.8           2         0.2           1           1           0         0
        -2.8           2         0.4           1           1           0         0
        -2.8           2         0.6           1           1           0         0
        -2.8           2         0.8           1           1           0         0
        -2.8           2           1           1           1           0         0
        -2.6          -2          -1           1           1           0         0
        -2.6          -2        -0.8           1           1           0         0
        -2.6          -2        -0.6           1           1           0         0
        -2.6          -2        -0.4           1           1           0         0
        -2.6          -2        -0.2           1           1           0         0
        -2.6          -2           0           1           1           0         0
        -2.6          -2         0.2           1           1           0         0
        -2.6          -2         0.4           1           1           0         0
        -2.6          -2         0.6           1           1           0         0
        -2.6          -2         0.8           1           1           0         0
        -2.6          -2           1           1           1           0         0
        -2.6        -1.8          -1           1           1           0         0
        -2.6        -1.8        -0.8           1           1           0         0
        -2.6        -1.8        -0.6           1           1           0         0
        -2.6        -1.8        -0.4           1           1           0         0
        -2.6        -1.8        -0.2           1           1           0         0
        -2.6        -1.8           0           1           1           0         0
        -2.6        -1.8         0.2           1           1           0         0
        -2.6        -1.8         0.4           1           1           0         0
        -2.6        -1.8         0.6           1           1           0         0
        -2.6        -1.8         0.8           1           1           0         0
        -2.6        -1.8           1           1           1           0         0
        -2.6        -1.6          -1           1           1           0         0
        -2.6        -1.6        -0.8           1           1           0         0
        -2.6        -1.6        -0.6           1           1           0         0
        -2.6        -1.6        -0.4           1           1           0         0
        -2.6        -1.6        -0.2           1           1           0         0
        -2.6        -1.6           0           1           1           0         0
        -2.6        -1.6         0.2           1           1           0         0
        -2.6        -1.6         0.4           1           1           0         0
        -2.6        -1.6         0.6           1           1           0         0
        -2.6        -1.6         0.8           1           1           0         0
        -2.6        -1.6           1           1           1           0         0
        -2.6        -1.4          -1           1           1           0         0
        -2.6        -1.4        -0.8           1           1           0         0
        -2.6        -1.4        -0.6           1           1           0         0
        -2.6        -1.4        -0.4           1           1           0         0
