28 April 2014 09:09:01 PM

SIMPLE_GA:
  C++ version
  A simple example of a genetic algorithm.

  Generation       Best            Average       Standard 
  number           value           fitness       deviation 

       761         26.8359         22.3341         4.93827
       762         26.8359         22.5885         4.33308
       763         26.8359          21.669         4.73449
       764         26.8359         20.7202         5.32962
       765         26.8359         21.6977         5.18631
       766         26.8359         20.2469         5.12136
       767         26.8359         20.8261          4.8401
       768         26.8359          21.174         4.15179
       769         26.8359         22.0455         3.75553
       770         26.8359         22.1472         4.40283
       771         26.8359         22.5666         4.22553
       772         26.8359         21.6375         5.44501
       773         26.8359         23.0114         4.17197
       774         26.8359         22.4577         3.84683
       775         26.8359         23.3975            2.82
       776         26.8359         21.5412          5.3053
       777         26.8359         21.5355         5.12112
       778         26.8359         22.3602         4.21533
       779         26.8359         22.4099         3.41732
       780         26.8359         20.4767         5.38994
       781         26.8359         20.3363         5.36942
       782         26.8359         20.3615          5.2158
       783         26.8359         21.1097         6.03383
       784         26.8359         21.7705         4.99512
       785         26.8359         20.8012         4.65539
       786         26.8359         19.1418         6.25864
       787         26.8359         18.7754         6.30202
       788         26.8359         19.1349         6.04815
       789         26.8359         20.3537         5.24068
       790         26.8359         20.8632         5.54676
       791         26.8359         20.1745         6.30271
       792         26.8359         21.1691         5.66515
       793         26.8359         21.7615         4.17165
       794         26.8359          21.573          3.9827
       795         26.8359         21.9323         4.42285
       796         26.8359         18.8087         7.15904
       797         26.8359         19.8984         5.77651
       798         26.8359         20.3912          5.4056
       799         26.8359         20.3026         5.69636
       800         26.8359          20.142         6.00703
       801         26.8359          19.155         6.52037
       802         26.8359         20.7976          5.3578
       803         26.8359         20.9223         4.88799
       804         26.8359          22.353         4.17513
       805         26.8359         22.1559         4.55484
       806         26.8359         20.8865         4.95154
       807         26.8359         21.3143         6.31184
       808         26.8359         22.0057         4.91101
       809         26.8359         22.8486         4.53585
       810         26.8359         22.8492         5.20645
       811         26.8359         22.2506         4.15827
       812         26.8359         21.8751         4.13393
       813         26.8359         22.4463         3.22899
       814         26.8359         20.8179         5.27839
       815         26.8359         21.7861         4.83542
       816         26.8359         22.2457         4.26117
       817         26.8359         22.9608          3.9314
       818         26.8359         22.8712         4.55429
       819         26.8359         22.8314          4.9188
       820         26.8359         22.8306         5.08567
       821         26.8359         23.7745         2.85687
       822         26.8359         22.7604         3.68507
       823         26.8359         21.9409         4.71809
       824         26.8359         20.8688         5.29646
       825         26.8359         20.9283         5.10051
       826         26.8359         19.8481         5.54279
       827         26.8359         20.4065         5.61276
       828         26.8359         21.5181         3.84434
       829         26.8359         21.7114          2.3845
       830         26.8359          21.185         4.68103
       831         26.8359         21.4076         3.71457
       832         26.8359         22.1122         3.38645
       833         26.8359         21.4474         4.31423
       834         26.8359         20.8003         4.78848
       835         26.8359          19.687         5.52637
       836         26.8359         20.8701         3.86361
       837         26.8359         20.4523         4.71368
       838         26.8359         20.7078           4.839
       839         26.8359         20.0451         5.33477
       840         26.8359         20.8296         5.40444
       841         26.8359         21.5307         4.13398
       842         26.8359           20.33         5.91113
       843         26.8359         20.6359         7.49853
       844         26.8359         23.9033          3.4873
       845         26.8359         22.8123         4.65575
       846         26.8359         22.6779         4.52021
       847         26.8359         23.2008         4.83284
       848         26.8359         23.3762         4.18987
       849         26.8359         23.1015         3.97351
       850         26.8359         21.9924         5.14934
       851         26.8359         20.7335         6.10469
       852         26.8359         21.1055         5.55036
       853         26.8359         21.9122          4.5339
       854         26.8359         22.1058         5.23624
       855         26.8359         21.9723         4.62703
       856         26.8359         23.4487         2.76822
       857         26.8359         23.1321         3.93494
       858         26.8359           22.93         4.37169
       859         26.8359         23.2384         3.20773
       860         26.8359         23.0116         4.36525
       861         26.8359         23.6487         3.55193
       862         26.8359         23.2214         4.63949
       863         26.8359         23.8639         3.67062
       864         26.8359         22.4531         4.72699
       865         26.8359         21.7502         4.98669
       866         26.8359         21.8727         3.82025
       867         26.8359         19.6399         5.70617
       868         26.8359         19.6914          5.5401
       869         26.8359         21.0542         4.58237
       870         26.8359         21.1168         4.25209
       871         26.8359         22.5516         3.43739
       872         26.8359         22.6123         3.98936
       873         26.8359         21.9774          4.0746
       874         26.8359         18.9559         6.62029
       875         26.8359         21.5234         3.73034
       876         26.8359         21.0901         4.49427
       877         26.8359         20.2622         5.45131
       878         26.8359          22.801         4.00731
       879         26.8359         22.3895         4.30413
       880         26.8359         23.0747         4.05181
       881         26.8359         22.8671         3.07164
       882         26.8359          22.292         4.28638
       883         26.8359         22.3437         3.64185
       884         26.8359         22.7606         4.67986
       885         26.8359         23.0051         4.10319
       886         26.8359         22.3407         5.13737
       887         26.8359         22.4131         4.53012
       888         26.8359         22.3194         4.47994
       889         26.8359         20.5025         5.83294
       890         26.8359         21.0466         5.85141
       891         26.8359         20.4789          6.7251
       892         26.8359          20.419         5.56354
       893         26.8359         21.4398         4.73467
       894         26.8359         21.1365         5.68829
       895         26.8359         22.0854         3.99767
       896         26.8359         22.3991         3.53235
       897         26.8359         21.0701         5.94254
       898         26.8359         19.9238         5.24778
       899         26.8359         20.2713         4.52006
       900         26.8359         19.7313         4.50687
       901         26.8359         19.0211         4.76871
       902         26.8359         19.7248         4.40185
       903         26.8359         20.8396         5.54701
       904         26.8359         20.6641         6.76092
       905         26.8359         22.1937         4.45094
       906         26.8359         23.6011         4.26347
       907         26.8359         22.4954         5.27922
       908         26.8359         22.6101         5.08326
       909         26.8359         21.2304         4.47053
       910         26.8359         20.6041         4.72882
       911         26.8359         21.4171         3.94371
       912         26.8359         19.9207         4.96619
       913         26.8359          20.404         5.66021
       914         26.8359         21.7355         5.18536
       915         26.8359         22.9105         4.04146
       916         26.8359         19.9756         6.46606
       917         26.8359         21.9586          4.9229
       918         26.8359         22.6311         5.11561
       919         26.8359         23.4781         4.11268
       920         26.8359         22.0751         6.00234
       921         26.8359         23.1845         4.49268
       922         26.8359         22.1028         6.20422
       923         26.8359         21.9238         5.99011
       924         26.8359         20.5778         6.73725
       925          26.911         22.0276         4.79553
       926          26.911         20.6831         6.66731
       927          26.911         20.5754          6.4646
       928          26.911         20.8216         7.13767
       929          26.911         22.9456         5.27575
       930          26.911         23.7087         4.55546
       931          26.911         23.2467         5.02216
       932          26.911         22.3768         5.06775
       933          26.911         23.0456         4.88677
       934          26.911         22.0825         5.58397
       935          26.911         23.3371         3.63241
       936          26.911         22.7999         4.73492
       937          26.911         21.8494         5.23403
       938          26.911         20.7223         6.61364
       939          26.911         22.3767          5.3407
       940          26.911         21.9844         4.67204
       941          26.911         20.7051          5.1431
       942          26.911          20.476         5.51146
       943          26.911         21.6762         4.04048
       944          26.911         21.1809         6.10206
       945          26.911         22.3997         3.92288
       946          26.911         22.0698         5.63432
       947          26.911         22.1539         5.11497
       948          26.911         21.5284         5.81618
       949          26.911         22.3358         4.91512
       950          26.911         21.1812         5.48506
       951          26.911         19.0698         6.33419
       952          26.911          20.426         6.21441
       953          26.911         22.3674         4.91062
       954          26.911         23.2036         4.28353
       955          26.911         21.7762         5.89093
       956          26.911         21.6425         5.84642
       957          26.911           20.41         6.62397
       958          26.911         20.7721         6.00768
       959          26.911         22.1927         5.32546
       960          26.911         20.7834         6.87402
       961          26.911         21.8011         4.56928
       962          26.911         21.5018         4.56745
       963          26.911         22.2298         5.01924
       964          26.911         20.8732         5.14756
       965          26.911         20.8387          5.6478
       966          26.911         21.9885         3.98752
       967          26.911         22.5264         3.05259
       968          26.911         22.0505         5.35864
       969          26.911         22.0106         6.19781
       970          26.911         22.1817         4.96285
       971          26.911         22.1648         4.40424
       972          26.911         21.1854         4.55093
       973          26.911         20.0236         4.70744
       974          26.911         20.5055         3.92738
       975          26.911         21.3669         3.74651
       976          26.911         21.9702         4.10081
       977          26.911         22.6313         3.69402
       978          26.911          22.823         3.60737
       979          26.911          20.326         4.88867
       980          26.911         21.0067         4.47726
       981          26.911         20.9793         4.26904
       982          26.911         21.0301         5.00314
       983          26.911         20.7001         5.54278
       984          26.911         20.0528         6.13633
       985          26.911         19.9333         5.03301
       986          26.911         20.2742         5.10727
       987          26.911         21.0933          5.8651
       988          26.911         22.2995         4.62293
       989          26.911         19.5707         6.45502
       990          26.911         21.9372         5.40655
       991          26.911         23.4546         4.38466
       992          26.911         22.3037         4.89942
       993          26.911         22.0083         4.48646
       994          26.911         22.5575          4.9193
       995          26.911         22.3435         4.85788
       996          26.911         21.9243         5.52547
       997          26.911         22.9324         4.98737
       998          26.911          22.644         5.11656
       999          26.911         22.8986         4.74032

  Best member after 1000 generations:

  var(0) = 4.99468
  var(1) = 0.00612386
  var(2) = 1.99479

  Best fitness = 26.911

SIMPLE_GA:
  Normal end of execution.

28 April 2014 09:09:01 PM
