28 April 2014 09:09:01 PM

SIMPLE_GA:
  C++ version
  A simple example of a genetic algorithm.

  Generation       Best            Average       Standard 
  number           value           fitness       deviation 

       174         26.7785         22.3031         4.40546
       175         26.7785         20.5103         6.84533
       176         26.7785         21.9357         4.74484
       177         26.7785         22.3375         5.67722
       178         26.7785         22.9344         4.74243
       179         26.7785          22.239         4.78361
       180         26.7785         21.4626         4.44195
       181         26.7785         21.8244          4.8267
       182         26.7785          21.504         5.04238
       183         26.7785         22.5906         3.75943
       184         26.7785         21.6587         6.10848
       185         26.7785         21.9042         4.60179
       186         26.7785          22.432         4.19122
       187         26.7785         20.5574         5.24232
       188         26.7785         20.8826         5.16572
       189         26.7785         21.5567         5.58654
       190         26.7785         23.0199         3.99126
       191         26.7785         23.5507         3.15871
       192         26.7785          21.365          5.6466
       193         26.7785         22.4595         4.87935
       194         26.7785         23.0306         4.24922
       195         26.7785         22.6337          4.2843
       196         26.7785         20.0008         6.78473
       197         26.7785         21.9639         4.92324
       198         26.7785          22.322         4.31336
       199         26.7785         20.3816         6.90159
       200         26.7785         23.6459         3.07082
       201         26.7785         22.5009         4.34848
       202         26.7785         22.4652         4.80697
       203         26.7785         22.6669         4.01504
       204         26.7785         22.2255         5.43948
       205         26.7785         21.1616         5.90182
       206         26.7785         22.9612         4.72171
       207         26.7785          22.394         4.62725
       208         26.7785         21.5213         4.97814
       209         26.7785         21.5316         4.38885
       210         26.7785         22.4892         4.23164
       211         26.7785         23.0102         3.92967
       212         26.7785         23.3401         4.55628
       213         26.7785         23.4306         4.85865
       214         26.7785          23.324         4.35623
       215         26.7785         21.4828         5.18492
       216         26.7785          22.748         4.34155
       217         26.7785         21.3754         4.74161
       218         26.7785         20.8252         5.22775
       219         26.7785          20.774         5.52007
       220         26.7785         21.4906         4.62172
       221         26.7785         21.6525          5.2402
       222         26.7785          21.974         6.10952
       223         26.7785         22.2946         5.52227
       224         26.7785         22.9105         4.46213
       225         26.7785         24.1051         2.16411
       226         26.7785         23.4973          4.4637
       227         26.7785         23.3416          4.9822
       228         26.7785         20.9329         5.90251
       229         26.7785         20.9859         5.71157
       230         26.7785         22.0867         4.01792
       231         26.7785         20.9835         4.20914
       232         26.7785         21.1632         4.67159
       233         26.7785         21.9766         4.15206
       234         26.7785         21.3796         5.01043
       235         26.7785         21.5766         3.62286
       236         26.7785         22.3083         3.34715
       237         26.7785         21.1022          4.5443
       238         26.7785         20.8164         5.23322
       239         26.7785         19.4772         5.04725
       240         26.7785         19.3718         3.91802
       241         26.7785          19.731         4.48779
       242         26.7785         21.2705         4.66703
       243         26.7785         21.0569         5.07157
       244         26.7785         20.0163         6.86554
       245         26.7785         20.9221         5.66444
       246         26.7785         21.2528         5.22373
       247         26.7785          21.808          4.4244
       248         26.7785         21.5449         4.89073
       249         26.7785         22.4001          4.4271
       250         26.7785         21.5941         4.76315
       251         26.7785         22.2114         4.73799
       252         26.7785         22.7052         5.66321
       253         26.7785         22.4555         5.13097
       254         26.7785         21.4287         5.78537
       255         26.7785         21.9856         5.21874
       256         26.7785         20.8163         5.91121
       257         26.7785          22.599         4.51032
       258         26.7785         21.4511         5.92378
       259         26.7785          22.325         5.46154
       260         26.7785          22.146          5.1448
       261         26.7785         22.0416         5.77272
       262         26.7785         22.8361         4.14651
       263         26.7785         22.2237         4.80708
       264         26.7785         21.4851         4.56927
       265         26.7785         20.2706         5.43036
       266         26.7785         20.0228         5.37251
       267         26.7785         20.9659         4.56951
       268         26.7785         21.8289         4.70263
       269         26.7785         21.6576          6.1582
       270         26.7785         23.3143         3.94685
       271         26.7785          22.929         4.76616
       272         26.7785         23.3125          4.0714
       273         26.7785         24.1054         2.57272
       274         26.7785         23.1729         3.78442
       275         26.7785          22.037          4.7889
       276         26.7785         22.7414          4.4388
       277         26.7785         22.7176         4.62254
       278         26.7785         23.4582         4.60755
       279         26.7785         24.0689         3.19747
       280         26.7785         24.1145         3.88675
       281         26.7785         23.5272         3.87602
       282         26.7785         22.9666         4.79629
       283         26.7785         23.3621         5.66237
       284         26.7785         22.6444         4.67215
       285         26.7785          22.587         4.85022
       286         26.7785         21.8583         5.61137
       287         26.8094         22.1969         5.73163
       288         26.8094         24.5672         3.18347
       289         26.8094         23.2546         4.59761
       290         26.8094         21.7382          6.7983
       291         26.8094         23.8468         3.17438
       292         26.8094           22.96         4.01456
       293         26.8094         22.1172         6.01313
       294         26.8094         23.7474         4.18318
       295         26.8094          23.292         3.96483
       296         26.8094         24.3599         2.89817
       297         26.8094          24.158         3.89973
       298         26.8094         22.8443         3.73842
       299         26.8094         22.5558         5.04861
       300         26.8094         23.1448         3.88486
       301         26.8094         22.1829          5.2994
       302         26.8094         22.2333         4.30471
       303         26.8094         21.5031         4.12177
       304         26.8094         20.3509         5.09714
       305         26.8094         21.3314         5.02814
       306         26.8094          22.484         3.44975
       307         26.8094          20.891         6.59515
       308         26.8094         22.0108         5.39031
       309         26.8094         21.3227         4.99679
       310         26.8094         20.9771         5.74021
       311         26.8094         21.4178         5.41949
       312         26.8094         21.5421         3.96073
       313         26.8094         21.2069          2.8015
       314         26.8094         21.2515         2.56941
       315         26.8094         21.1328          3.0069
       316         26.8094         19.9904         4.50208
       317         26.8094          20.742         3.71628
       318         26.8094         19.2728         5.11309
       319         26.8094          21.345         4.29989
       320         26.8094          21.034         4.82728
       321         26.8094         20.5441         4.38493
       322         26.8094         20.4636         4.60358
       323         26.8094         21.7964         3.34093
       324         26.8094         21.3546         4.11519
       325         26.8094         23.5702         3.23427
       326         26.8094         22.5658         5.47766
       327         26.8094         22.4968         4.25821
       328         26.8094         20.3032         6.58352
       329         26.8094         21.9311         5.42504
       330         26.8094         20.8378          5.4416
       331         26.8094         20.0771         5.84157
       332         26.8359         21.3476         5.39291
       333         26.8359         21.2603         6.04094
       334         26.8359         22.4236         5.19903
